,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
124,ardha kapotasana,Activates and simulates the entire Endocrine System,"This stretch with proper breathing, not only improves the flow of prana, but ensure a good flow of blood along with oxygen within the entire body.",activates simulates entire endocrine system,stretch proper breathing improves flow prana ensure good flow blood along oxygen within entire body,0
125,pavanamuktasana,this works to tone the arms and shoulders.,"can be used to treat menstrual disorders, flatulence, constipation, infertility and impotence or diabetes. Flatulence is a buildup of gas in the digestive system that can lead to abdominal discomfort. Excessive flatulence can cause discomfort and distress. Many times, headaches and migraines are caused due to Vata dosha (gaseous formation in the body which is not passed out). This pose is good to treat such physical conditions.",works tone arms shoulders,used treat menstrual disorders flatulence constipation infertility impotence diabetes flatulence buildup gas digestive system lead abdominal discomfort excessive flatulence cause discomfort distress many times headaches migraines caused due vata dosha gaseous formation body passed pose good treat physical conditions,20
126,gomukhasana,It helps to develop the chest.,can help to stimulate the digestive system and relieve digestive issues such as bloating and constipation.,helps develop chest,help stimulate digestive system relieve digestive issues bloating constipation,10
127,ardha katicakrasana,"Improves flexibility of the spine, hips, and legs.",Improves posture and body alignment. Strengthens the pelvic floor muscles.,improves flexibility spine hips legs,improves posture body alignment strengthens pelvic floor muscles,33
128,rajakapotasana,The neck stretch giving room for balancing the thyroid glands.,The overall toning of the internal organs takes place as the muscles are put to expand at this pose.,neck stretch giving room balancing thyroid glands,overall toning internal organs takes place muscles put expand pose,21
129,trikonasana,Trikonasana gives flexibility of the back and spine.,It stimulates the digestive fire and removes constipation.,trikonasana gives flexibility back spine,stimulates digestive fire removes constipation,27
130,bananasana,"imposes a slight pressure on the knees, which not only strengthen them, also make them flexible. ","By stretching the entire body, it makes it flexible to perform the daily chores. ",imposes slight pressure knees strengthen also make flexible,stretching entire body makes flexible perform daily chores,19
131,matsyasana,This practice is very good for asthma and bronchitis as it encourages deep respiration.,"It recirculates stagnant blood in the back, alleviating backache and cervical spondylitis.",practice good asthma bronchitis encourages deep respiration,recirculates stagnant blood back alleviating backache cervical spondylitis,37
132,ashta chandrasana,"With the muscles being activated, including the abdominal muscles, the digestive system and the reproductive system improve in their functions, thus reducing indigestion and problems related to the reproductive system.",helps asthma patients.,muscles activated including abdominal muscles digestive system reproductive system improve functions thus reducing indigestion problems related reproductive system,helps asthma patients,38
133,trikonasana,It stimulates the digestive fire and removes constipation.,"It massages the muscles and nerves in the pelvic region, relieving stiffness and mild pains.",stimulates digestive fire removes constipation,massages muscles nerves pelvic region relieving stiffness mild pains,27
134,naukasana,can help to increase spinal flexibility and mobility.,Increases lung capacity: can help to improve lung function and increase lung capacity.,help increase spinal flexibility mobility,increases lung capacity help improve lung function increase lung capacity,43
135,utkata konasana,It can relieve menstrual pain and cramps.,"The abdominal toning acts as a great massage to the digestive organs, and it is adequate to treat constipation, Ibd (Irritable bowel disorder), lack of appetite, and acidity.",relieve menstrual pain cramps,abdominal toning acts great massage digestive organs adequate treat constipation ibd irritable bowel disorder lack appetite acidity,25
136,ardha matsyendrasana,Aids in maintaining normal rotation of the spinal cord.,Helps those experiencing a slipped disc.,aids maintaining normal rotation spinal cord,helps experiencing slipped disc,4
137,sirshasana,Sirshasana revitalizes the entire body and mind.,Strain on the back is thus alleviated and the reversed flow of blood in the legs and visceral regions aids tissue regeneration.,sirshasana revitalizes entire body mind,strain back thus alleviated reversed flow blood legs visceral regions aids tissue regeneration,15
138,supta trivikramasana,"Deeper stretch of the abdominal muscles along with the core muscles, helps to strengthen the internal organs, while stimulating them.","Supine Splits Pose is believed to activate the Svadisthana (sacral) chakras. Svadisthana is associates with creativity, sexuality, joy, and pleasure also.",deeper stretch abdominal muscles along core muscles helps strengthen internal organs stimulating,supine splits pose believed activate svadisthana sacral chakras svadisthana associates creativity sexuality joy pleasure also,39
